team1,team2,priority1,color1,priority2,color2,similarity
DET,KC,1,#0076B6,1,#E31837,276.57548698321045
DET,LAC,1,#0076B6,2,#FFC20E,314.6823795511913
DET,LAR,1,#0076B6,2,#FFA300,316.5027646008799
DET,LV,1,#0076B6,1,#000000,216.90550938138938
DET,MIA,1,#0076B6,2,#FC4C02,312.51879943453
DET,MIN,1,#0076B6,2,#FFC62F,299.41609843159733
DET,NE,1,#0076B6,2,#C60C30,261.5262893095071
DET,NO,1,#0076B6,1,#D3BC8D,226.05751480541406
DET,NYG,1,#0076B6,2,#A71930,233.4394996567633
DET,NYJ,1,#0076B6,2,#000000,216.90550938138938
DET,PHI,1,#0076B6,2,#A5ACAF,173.75269782078206
DET,PIT,1,#0076B6,1,#FFB612,309.86610011422675
DET,SEA,1,#0076B6,2,#69BE28,190.71706793048176
DET,SF,1,#0076B6,1,#AA0000,275.586646991468
DET,TB,1,#0076B6,1,#D50A0A,294.3076621496627
DET,TEN,1,#0076B6,3,#C8102E,262.48809496813374
DET,WAS,1,#0076B6,1,#5A1414,209.63778285414105
GB,ARI,1,#203731,3,#FFB612,258.4937136566381
GB,ATL,1,#203731,3,#A5ACAF,217.3798518722469
GB,BAL,1,#203731,4,#C60C30,171.48177745754796
GB,BUF,1,#203731,2,#C60C30,171.48177745754796
GB,CAR,1,#203731,1,#0085CA,174.69115604403103
GB,CHI,1,#203731,2,#C83803,174.1866814656046
GB,CIN,1,#203731,1,#FB4F14,222.21161085775873
GB,CLE,1,#203731,2,#FF3C00,228.37469211801906
GB,DAL,1,#203731,3,#869397,171.09061926359377
GB,DEN,1,#203731,1,#FB4F14,222.21161085775873
GB,DET,1,#203731,1,#0076B6,150.6054447886928
GB,HOU,2,#FFB612,1,#03202F,294.6947573337537
GB,IND,1,#203731,2,#A2AAAD,213.30963410029094
GB,JAX,1,#203731,2,#D7A22A,212.1013908488108
GB,KC,1,#203731,1,#E31837,197.53986939349738
GB,LAC,1,#203731,1,#0080C6,168.9792886717186
GB,LAR,1,#203731,2,#FFA300,252.57474141330917
GB,LV,1,#203731,2,#A5ACAF,217.3798518722469
GB,MIA,1,#203731,2,#FC4C02,225.94247055390008
GB,MIN,1,#203731,2,#FFC62F,264.91885550107605
GB,NE,1,#203731,2,#C60C30,171.48177745754796
GB,NO,1,#203731,1,#D3BC8D,241.2343259156955
GB,NYG,1,#203731,3,#A5ACAF,217.3798518722469
GB,NYJ,1,#203731,3,#FFFFFF,363.54504535201687
GB,PHI,1,#203731,2,#A5ACAF,217.3798518722469
GB,PIT,1,#203731,1,#FFB612,258.4937136566381
GB,SEA,1,#203731,2,#69BE28,153.73678805022564
GB,SF,1,#203731,1,#AA0000,156.4288975860918
GB,TB,1,#203731,1,#D50A0A,190.5439581828823
GB,TEN,1,#203731,2,#4B92DB,197.56011743264378
GB,WAS,1,#203731,2,#FFB612,258.4937136566381
HOU,ARI,1,#03202F,3,#FFB612,294.6947573337537
HOU,ATL,1,#03202F,1,#A71930,164.15236824365343
HOU,BAL,1,#03202F,3,#9E7C0C,183.61372497719228
HOU,BUF,1,#03202F,2,#C60C30,196.02550854416882
HOU,CAR,1,#03202F,1,#0085CA,185.02702505309867
HOU,CHI,1,#03202F,2,#C83803,203.27567488511752
HOU,CIN,1,#03202F,1,#FB4F14,253.85428891393582
HOU,CLE,1,#03202F,2,#FF3C00,257.87012234844116
HOU,DAL,1,#03202F,3,#869397,202.98275788844725
HOU,DEN,1,#03202F,1,#FB4F14,253.85428891393582
HOU,DET,1,#03202F,1,#0076B6,160.09372255026116
HOU,GB,1,#03202F,2,#FFB612,294.6947573337537
HOU,IND,1,#03202F,2,#A2AAAD,245.35892076710803
HOU,JAX,1,#03202F,2,#D7A22A,248.73479853048306
HOU,KC,1,#03202F,1,#E31837,224.285532302019
HOU,LAC,1,#03202F,1,#0080C6,178.95809565370325
HOU,LAR,1,#03202F,2,#FFA300,287.87844657077056
HOU,LV,1,#03202F,2,#A5ACAF,249.4554068365727
HOU,MIA,1,#03202F,1,#008E97,151.41003929726722
HOU,MIN,1,#03202F,2,#FFC62F,301.7614952242913
HOU,NE,1,#03202F,2,#C60C30,196.02550854416882
HOU,NO,1,#03202F,1,#D3BC8D,276.4706132665821
HOU,NYG,1,#03202F,2,#A71930,164.15236824365343
HOU,NYJ,1,#03202F,3,#FFFFFF,395.59701717783463
HOU,PHI,1,#03202F,2,#A5ACAF,249.4554068365727
HOU,PIT,1,#03202F,1,#FFB612,294.6947573337537
HOU,SEA,1,#03202F,2,#69BE28,188.194048790072
HOU,SF,1,#03202F,1,#AA0000,176.41428513586987
HOU,TB,1,#03202F,1,#D50A0A,214.36650857818253
HOU,TEN,1,#03202F,2,#4B92DB,218.54976549975981
HOU,WAS,1,#03202F,2,#FFB612,294.6947573337537
IND,ARI,1,#002C5F,1,#97233F,154.6156525064652
IND,ATL,1,#002C5F,1,#A71930,174.52506983238825
IND,BAL,1,#002C5F,3,#9E7C0C,195.58374165558854
IND,BUF,1,#002C5F,2,#C60C30,206.0024271701671
IND,CAR,1,#002C5F,3,#BFC0BF,260.00192306981114
IND,CHI,1,#002C5F,2,#C83803,220.47222047233072
IND,CIN,1,#002C5F,1,#FB4F14,264.29339757171385
IND,CLE,1,#002C5F,2,#FF3C00,272.5912691191704
IND,DAL,1,#002C5F,3,#869397,178.0477464052831
IND,DEN,1,#002C5F,1,#FB4F14,264.29339757171385
IND,DET,1,#002C5F,2,#B0B7BC,242.78797334299736
IND,GB,1,#002C5F,2,#FFB612,299.99666664814794
IND,HOU,1,#002C5F,2,#A71930,174.52506983238825
IND,JAX,1,#002C5F,2,#D7A22A,250.91432800858544
IND,KC,1,#002C5F,1,#E31837,231.36335059814465
IND,LAC,1,#002C5F,2,#FFC20E,306.7344128069102
IND,LAR,1,#002C5F,2,#FFA300,297.00336698428185
IND,LV,1,#002C5F,2,#A5ACAF,223.62692145625044
IND,MIA,1,#002C5F,2,#FC4C02,270.51247660690257
IND,MIN,1,#002C5F,2,#FFC62F,301.7366401350688
IND,NE,1,#002C5F,2,#C60C30,206.0024271701671
IND,NO,1,#002C5F,1,#D3BC8D,259.5630944491146
IND,NYG,1,#002C5F,2,#A71930,174.52506983238825
IND,NYJ,1,#002C5F,3,#FFFFFF,367.62208856378584
IND,PHI,1,#002C5F,2,#A5ACAF,223.62692145625044
IND,PIT,1,#002C5F,1,#FFB612,299.99666664814794
IND,SEA,1,#002C5F,2,#69BE28,188.05850153609114
IND,SF,1,#002C5F,1,#AA0000,199.65219758369804
IND,TB,1,#002C5F,1,#D50A0A,231.8404623873926
IND,TEN,1,#002C5F,2,#4B92DB,177.21455922130102
IND,WAS,1,#002C5F,2,#FFB612,299.99666664814794
JAX,ARI,1,#101820,3,#FFB612,286.8466489258677
JAX,ATL,1,#101820,1,#A71930,151.84860881812517
JAX,BAL,1,#101820,3,#9E7C0C,174.82562741200158
JAX,BUF,1,#101820,2,#C60C30,183.09560344257315
JAX,CAR,1,#101820,1,#0085CA,202.57591169731904
JAX,CHI,1,#101820,2,#C83803,189
JAX,CIN,1,#101820,1,#FB4F14,241.64850506469102
JAX,CLE,1,#101820,2,#FF3C00,243.80525014855607
JAX,DAL,1,#101820,3,#869397,207.87977294580634
JAX,DEN,1,#101820,1,#FB4F14,241.64850506469102
JAX,DET,1,#101820,1,#0076B6,177.74138516395107
JAX,GB,1,#101820,2,#FFB612,286.8466489258677
JAX,HOU,1,#101820,2,#A71930,151.84860881812517
JAX,IND,1,#101820,2,#A2AAAD,250.0259986481406
JAX,KC,1,#101820,1,#E31837,212.24985276791125
JAX,LAC,1,#101820,1,#0080C6,196.5400722499104
JAX,LAR,1,#101820,2,#FFA300,278.3271456398028
JAX,LV,1,#101820,2,#A5ACAF,254.07479213806315
JAX,MIA,1,#101820,1,#008E97,168.3478541591784
